Individual,Sex,Family.Group
SFCoy14,M,Bernal
SFCoy66,F,Coit
SFCoy12,F,Land's End
SFCoy61,M,Merced
SFCoy85,F,Glen
SFCoy13,M,Corona
SFCoy8,M,Presidio
SFCoy87,M,Transient
SFCoy90,F,Merced
SFCoy73,M,GGP - East
SFCoy95,M,Coit
SFCoy24,F,Presidio
SFCoy50,M,Bernal
SFCoy17,M,Glen
SFCoy31,F,Corona
SFCoy9,M,Glen
SFCoy119,M,Bernal
SFCoy44,F,Bernal
SFCoy80,M,Glen
SFCoy112,F,Coit
SFCoy126,M,Bernal
SFCoy128,F,Bernal
SFCoy109,M,Coit
SFCoy124,F,Coit
SFCoy125,M,Coit
SFCoy49,M,Bernal
SFCoy81,F,Glen
SFCoy89,F,GGP - East
SFCoy100,M,Bernal
SFCoy129,F,St. Francis
SFCoy45,M,Bernal
SFCoy55,M,Merced
SFCoy70,F,GGP - East
SFCoy96,F,Merced
SFCoy97,F,St. Francis
SFCoy113,F,Coit
SFCoy114,F,Merced
SFCoy122,M,Bernal
SFCoy60,F,Merced
SFCoy72,M,Merced
SFCoy77,F,Merced
SFCoy40,F,Presidio
SFCoy42,M,Glen
SFCoy53,M,Land's End
SFCoy102,F,Presidio
SFCoy103,M,Presidio
SFCoy111,M,Glen
SFCoy116,M,Merced
SFCoy118,F,Glen
SFCoy121,F,Coit
SFCoy20,M,Merced
SFCoy33,NA,Presidio
SFCoy4,M,Merced
SFCoy47,M,Coit
SFCoy52,M,GGP - West
SFCoy110,F,St. Francis
SFCoy117,F,Bernal
SFCoy127,M,Glen
SFCoy28,M,GGP - East
SFCoy37,F,Merced
SFCoy54,F,GGP - East
SFCoy6,F,Glen
SFCoy78,NA,GGP - West
SFCoy82,M,Glen
SFCoy93,NA,McLaren
SFCoy94,M,Presidio
SFCoy104,M,St. Francis
SFCoy105,F,Merced
SFCoy115,M,Presidio
SFCoy123,M,Merced
SFCoy130,M,Glen
SFCoy131,M,Corona
SFCoy132,M,Merced
SFCoy135,F,McLaren
SFCoy138,M,Presidio
SFCoy139,M,Merced
SFCoy140,F,Merced
SFCoy143,M,Glen
SFCoy144,M,GGP - West
SFCoy151,M,GGP - East
SFCoy156,F,GGP - West
SFCoy157,NA,Glen
SFCoy16,M,Presidio
SFCoy160,M,Presidio
SFCoy161,M,Land's End
SFCoy162,M,McLaren
SFCoy163,M,GGP - East
SFCoy166,M,Glen
SFCoy172,M,Merced
SFCoy174,M,Glen
SFCoy175,F,Merced
SFCoy21,NA,Merced
SFCoy26,M,McLaren
SFCoy27,F,GGP - East
SFCoy35,F,Merced
SFCoy39,F,Presidio
SFCoy41,M,McLaren
SFCoy46,M,Bernal
SFCoy51,M,Glen
SFCoy56,F,Glen
SFCoy58,F,McLaren
SFCoy64,F,Glen
SFCoy65,M,Bernal
SFCoy68,M,Bernal
SFCoy7,M,Glen
SFCoy71,F,Land's End
SFCoy75,NA,Merced
SFCoy76,F,Merced
SFCoy83,M,Glen
SFCoy84,NA,GGP - East
SFCoy99,M,Merced
